,AWCities,SustainBain,chb_tacoma,ArlingtonWA,cityofbi,bellevuewa,CityofBhamWA,CityBonneyLake,CityofBothell,CityofBremerton,edmondspw,EverettCity,kirklandgov,LakeStevensWA,CityofMukilteo,CityofNewcastle,OakHarborWA,cityofolympia,CityofPuyallup,CityOfRedmond,CityofSeattle,SeattleSPU,cityofsequim,ExperienceSnoho,clallamweb,ramboll,ECOSS,FEETFIRST_WA,FeiroMarine,issaquahfish,FuturewiseWA,TheSalmonCenter,King_CD_WA,kcnews,KitsapWa,KitsapHealth,Longlivekings,HealthyMC,OlympicNP,NatureBridge,WeedWarriors,NisquallyRC,NisquallyTribe,NOAAFisheries,NOAAHabitat,OlympicCoast,NOAAFish_WCRO,NooksackSalmon,NorthernEcon,NWIndianCollege,NWStraits,SalmonCoalition,sanjuanisnps,NOAAFish_NWFSC,nwifc,OlympicOutdoor,orcanetwork,PNNLab,PtDefianceZoo,PortofTacoma,PTMarineScience,PSPartnership,PugetSoundInst,PugetSKeeper,puyalluptribe,Rmedia,SanJuanCountyWA,SeaDocSociety,SeattleAquarium,SeattleAudubon,sierraclub,SkagitGov,SkagitFisheries,SkagitLandTrust,snocounty,SoundExperience,gocampcasey,Stanford,StewardshipP,StillwatersEnv,Surfrider,taylorshellfish,nature_org,ThurstonCD,ThurstonHealth,ThurstonCounty,TroutUnlimited,USNavy,USACEHQ,USCG,USDA,EPA,forestservice,USFWS,UW,uwtacoma,VashonNatureCtr,WACounties,wecprotects,WASeaGrant,WDFW,waDNR,EcologyWA,WA_DeptofHealth,WhatcomCoHealth,WCLandTrust,WolfHollowWRC,wsuext,WSUJeffCo,WsuKitsapExt,WWU,HuxleyCollege
AWCities,NA,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
SustainBain,0,NA,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
chb_tacoma,0,0,NA,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
ArlingtonWA,1,0,0,NA,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
cityofbi,1,1,0,1,NA,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
bellevuewa,1,1,0,1,1,NA,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
CityofBhamWA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CityBonneyLake,1,1,0,1,1,1,1,NA,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
CityofBothell,1,1,0,1,1,1,1,0,NA,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
CityofBremerton,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
