Association of Washington Cities, City of Bellevue, 48
Association of Washington Cities, City of Redmond, 58
Association of Washington Cities, City of Kirkland, 39
Association of Washington Cities, UW, 15
Association of Washington Cities, City of Olympia, 64
Association of Washington Cities, WA State Association of Counties, 65
Association of Washington Cities, WDOE, 31
Association of Washington Cities, City of Everett, 27
Association of Washington Cities, City of Seattle, 41
Association of Washington Cities, City of Bothell, 12
Association of Washington Cities, Snohomish County, 12
Association of Washington Cities, City of Lacey, 19
Association of Washington Cities, City of Arlington, 11
Association of Washington Cities, City of Kent, 8
Association of Washington Cities, City of Oak Harbor, 8
Association of Washington Cities, City of Puyallup, 8
Association of Washington Cities, WDOH, 13
Association of Washington Cities, City of Lake Stevens, 4
Association of Washington Cities, PSP, 4
Bainbridge Beach Naturalists, City of Bainbridge Island, 5
Citizens for a Healthy Bay, Port of Tacoma, 636
Citizens for a Healthy Bay, Pierce County, 33
Citizens for a Healthy Bay, WDOE, 103
Citizens for a Healthy Bay, UW, 19
Citizens for a Healthy Bay, UW Tacoma, 62
Citizens for a Healthy Bay, Puget Soundkeeper Alliance , 43
Citizens for a Healthy Bay, Sierra Club, 9
Citizens for a Healthy Bay, USEPA, 33
Citizens for a Healthy Bay, City of Seattle, 8
Citizens for a Healthy Bay, Washington Environmental Council, 7
Citizens for a Healthy Bay, PSP, 17
Citizens for a Healthy Bay, Taylor Shellfish Farms, 20
Citizens for a Healthy Bay, NWIFC, 6
Citizens for a Healthy Bay, NOAA, 15
Citizens for a Healthy Bay, Washington Sea Grant, 9
Citizens for a Healthy Bay, USDA, 5
Citizens for a Healthy Bay, Seattle Aquarium, 5
Citizens for a Healthy Bay, OrcaNet, 4
Citizens for a Healthy Bay, Point Defiance Zoo & Aquarium, 3
Citizens for a Healthy Bay, USACOE, 2
City of Bainbridge Island, WDNR, 4
City of Bellevue, City of Bellingham, 13
City of Bellevue, King Conservation District, 12
City of Bellevue, King County, 57
City of Bellevue, UW, 11
City of Bellevue, City of Newcastle, 11
City of Bellevue, Futurewise, 40
City of Bellevue, City of Kirkland, 10
City of Bonney Lake, Pierce County, 18
City of Bothell, Snohomish County, 28
City of Bothell, City of Seattle, 6
City of Bothell, Feet First, 5
City of Everett, Snohomish County, 51
City of Everett, WDOE, 9
City of Everett, USEPA, 4
City of Kirkland, WDFW, 12
City of Kirkland, NPS, 12
City of Kirkland, City of Bellevue, 12
City of Kirkland, Association of Washington Cities, 47
City of Kirkland, WSP, 12
City of Kirkland, WDNR, 20
City of Kirkland, City of Redmond, 9
City of Lacey, Association of Washington Cities, 4
City of Lacey, Thurston Conservation District, 4
City of Lacey, Thurston County, 4
City of Lacey, City of Olympia, 4
City of Lacey, King County, 4
City of Mukilteo, Snohomish County, 4
City of Newcastle, King County, 2
City of Olympia, City of Lacey, 42
City of Olympia, Thurston County, 51
City of Olympia, City of Bremerton, 9
City of Olympia, USEPA, 9
City of Olympia, City of Seattle, 12
City of Olympia, King County, 2
City of Puyallup, WDNR, 58
City of Puyallup, Pierce County, 76
City of Puyallup, WDFW, 9
City of Puyallup, Stewardship Partners, 7
City of Puyallup, WDOH, 10
City of Puyallup, PSP, 2
City of Redmond, City of Bothell, 17
City of Redmond, City of Bellevue, 17
City of Redmond, City of Kirkland, 44
City of Redmond, City of Seattle, 16
City of Redmond, UW, 13
City of Redmond, King County, 19
City of Redmond, City of Puyallup, 21
City of Seattle, City of Everett, 17
City of Seattle, UW, 36
City of Seattle, Snohomish County, 22
City of Seattle, City of Arlington, 11
City of Seattle, King County, 67
City of Seattle, City of Snohomish, 4
City of Snohomish, Snohomish County, 5
City of Snohomish, City of Seattle, 6
Environmental Coaliton of South Seattle, USEPA, 3
Environmental Coaliton of South Seattle, Washington Environmental Council, 9
Feet First, City of Seattle, 93
Feet First, NPS, 45
Feet First, City of Bothell, 30
Feet First, UW, 15
Feet First, City of Redmond, 139
Feet First, WDOH, 15
Feet First, City of Bremerton, 13
Feet First, City of Bonney Lake, 26
Feet First, City of Mukilteo, 12
Feet First, Futurewise, 19
Feet First, City of Kirkland, 16
Feet First, King County, 9
Feet First, City of Bellevue, 11
Feet First, WSP, 8
Feet First, Washington Environmental Council, 6
Feet First, National Wildlife Federation, 6
Feet First, PSP, 4
Feiro Marine Life Center, Northwest Straits Commission, 36
Feiro Marine Life Center, National Park Service, 46
Feiro Marine Life Center, WDFW, 19
Feiro Marine Life Center, NWIFC, 9
Feiro Marine Life Center, WSP, 8
Feiro Marine Life Center, Clallam County, 33
Feiro Marine Life Center, Washington Sea Grant, 28
Feiro Marine Life Center, WWU/Huxley College on the Peninsulas, 21
Feiro Marine Life Center, WDOE, 7
Feiro Marine Life Center, NWFSC, 7
Feiro Marine Life Center, PNNL, 6
Feiro Marine Life Center, PSP, 10
Feiro Marine Life Center, Seattle Audubon, 5
Feiro Marine Life Center, UW, 5
Feiro Marine Life Center, SeaDoc Society, 5
Feiro Marine Life Center, The Nature Conservancy, 5
Feiro Marine Life Center, NPS, 16
Feiro Marine Life Center, Seattle Aquarium, 3
Feiro Marine Life Center, Port Townsend Marine Science Center, 3
Feiro Marine Life Center, USFS, 3
Friends of the Issaquah Salmon Hatchery, WSP, 160
Friends of the Issaquah Salmon Hatchery, PSP, 17
Friends of the Issaquah Salmon Hatchery, King Conservation District, 16
Friends of the Issaquah Salmon Hatchery, Puget Soundkeeper Alliance , 11
Friends of the Issaquah Salmon Hatchery, WDFW, 10
Friends of the Issaquah Salmon Hatchery, Sound Salmon Solutions, 8
Friends of the Issaquah Salmon Hatchery, Taylor Shellfish Farms, 6
Friends of the Issaquah Salmon Hatchery, National Wildlife Federation, 4
Friends of the Issaquah Salmon Hatchery, Washington Environmental Council, 4
Futurewise, City of Bellevue, 73
Futurewise, Association of Washington Cities, 14
Futurewise, Taylor Shellfish Farms, 56
Futurewise, King County, 89
Futurewise, City of Everett, 17
Futurewise, Pierce County, 21
Futurewise, Feet First, 47
Futurewise, Seattle Aquarium, 10
Futurewise, WDOE, 100
Futurewise, PSP, 27
Futurewise, City of Seattle, 35
Futurewise, Washington Environmental Council, 77
Futurewise, OrcaNet, 9
Futurewise, City of Redmond, 8
Futurewise, Skagit County, 8
Futurewise, City of Bremerton, 14
Futurewise, UW Tacoma, 6
Futurewise, Nisqually River Council, 6
Futurewise, Nisqually Tribe, 5
Futurewise, City of Bothell, 5
Futurewise, National Wildlife Federation, 5
Futurewise, UW, 16
Futurewise, Snohomish County, 3
Hood Canal Salmon Enhancement, National Park Service, 2
Hood Canal Salmon Enhancement, WDOE, 2
Hood Canal Salmon Enhancement, NPS, 2
Hood Canal Salmon Enhancement, WDFW, 2
King Conservation District, King County, 2
King Conservation District, Newcastle Weed Warriors, 2
King County, UW, 120
King County, Snohomish County, 15
King County, USCG, 15
King County, City of Seattle, 31
King County, City of Kirkland, 21
King County, The Nature Conservancy, 10
King County, USEPA, 4
King County, WDOH, 4
King County, City of Redmond, 4
Long Live the Kings, PSP, 8
Long Live the Kings, The Nature Conservancy, 2
Long Live the Kings, Seattle Aquarium, 10
Long Live the Kings, NMFS, 2
Long Live the Kings, WWU, 2
Long Live the Kings, WDOE, 2
Long Live the Kings, OrcaNet, 2
Long Live the Kings, SeaDoc Society, 2
Long Live the Kings, WDFW, 2
Long Live the Kings, UW, 4
Long Live the Kings, Trout Unlimited, 2
Mason County, WDOH, 8
Mason County, USEPA, 16
Mason County, USDA, 4
National Park Service, NPS, 26
National Park Service, Sierra Club, 3
National Park Service, Clallam County, 3
National Park Service, WSP, 2
National Park Service, NatureBridge, 2
National Wildlife Federation, USEPA, 98
National Wildlife Federation, USFWS, 89
National Wildlife Federation, The Nature Conservancy, 55
National Wildlife Federation, Sierra Club, 27
National Wildlife Federation, NPS, 37
National Wildlife Federation, NMFS, 19
National Wildlife Federation, Trout Unlimited, 11
National Wildlife Federation, NOAA, 40
National Wildlife Federation, Surfrider Foundation, 3
NatureBridge, NPS, 331
NatureBridge, National Park Service, 271
NatureBridge, National Wildlife Federation, 77
NatureBridge, Sierra Club, 30
NatureBridge, The Nature Conservancy, 59
NatureBridge, USFS, 24
NatureBridge, Stanford, 30
NatureBridge, Feiro Marine Life Center, 23
NatureBridge, NOAA, 18
NatureBridge, USDA, 11
NatureBridge, USEPA, 4
Newcastle Weed Warriors, King Conservation District, 2
NMFS, NOAA, 2664
NMFS, USCG, 34
NMFS, NWFSC, 148
NMFS, The Nature Conservancy, 26
